Средний балл зрителей,Количество оценок,IMDb,Режиссёр,"Хронометраж, мин",Возраст,Год
7.9,1400000,8.3,James Cameron,162,12+,2009
8.4,1300000,7.8,Anthony Russo,181,16+,2019
7.5,511000,6.7,James Cameron,192,12+,2022
7.9,1300000,7.5,James Cameron,194,12+,1997
7.8,985000,8.0,J.J. Abrams,138,12+,2015
8.4,1200000,6.8,Anthony Russo,149,16+,2018
8.2,907000,7.1,Jon Watts,148,12+,2021
6.9,689000,5.9,Colin Trevorrow,124,12+,2015
6.8,272000,5.5,Jon Favreau,118,6+,2019
8.0,1500000,6.9,Joss Whedon,143,12+,2012
7.1,420000,6.7,James Wan,137,16+,2015
8.2,732000,7.8,Joseph Kosinski,130,16+,2022
6.8,200000,6.4,Chris Buck,103,6+,2019
6.8,568000,8.0,Greta Gerwig,114,12+,2023
7.3,938000,6.6,Joss Whedon,141,12+,2015
7.0,249000,4.6,Aaron Horvath,92,6+,2023
7.7,142000,7.3,Kelsey Mann,96,6+,2024
7.3,851000,8.8,Ryan Coogler,134,16+,2018
8.1,966000,8.5,David Yates,130,12+,2011
6.9,682000,8.4,Rian Johnson,152,16+,2017
6.1,351000,5.1,J.A. Bayona,128,12+,2018
7.4,673000,7.5,Chris Buck,102,6+,2013
7.1,339000,6.5,Bill Condon,129,16+,2017
7.5,340000,8.0,Brad Bird,118,6+,2018
6.6,258000,5.6,F. Gary Gray,136,12+,2017
7.1,912000,6.2,Shane Black,130,12+,2013
6.4,266000,5.6,Kyle Balda,91,6+,2015
7.8,866000,7.5,Anthony Russo,147,12+,2016
6.8,528000,5.5,James Wan,143,12+,2018
9.0,2000000,9.4,Peter Jackson,201,12+,2003
7.4,573000,6.9,Jon Watts,129,12+,2019
6.8,621000,6.4,Anna Boden,123,16+,2019
6.2,437000,4.2,Michael Bay,154,12+,2011
7.8,738000,8.1,Sam Mendes,143,16+,2012
5.6,335000,3.2,Michael Bay,165,12+,2014
8.2,1100000,6.8,Steven Spielberg,127,6+,1993
8.4,1900000,7.8,Christopher Nolan,164,12+,2012
8.4,1500000,5.9,Todd Phillips,122,18+,2019
6.4,504000,5.3,J.J. Abrams,141,12+,2019
7.7,287000,8.4,Josh Cooley,100,6+,2019
8.3,907000,9.2,Lee Unkrich,103,0+,2010
7.4,779000,5.3,Gore Verbinski,151,12+,2006
7.8,699000,6.5,Gareth Edwards,133,12+,2016
6.9,295000,5.3,Guy Ritchie,128,6+,2019
6.6,573000,4.5,Rob Marshall,137,12+,2011
6.5,872000,5.1,George Lucas,136,0+,1999
7.6,872000,6.5,Chris Columbus,152,12+,2001
6.2,162000,4.9,Kyle Balda,89,6+,2017
7.2,310000,7.7,Andrew Stanton,97,6+,2016
8.0,560000,7.8,Byron Howard,108,6+,2016
6.4,447000,5.3,Tim Burton,108,12+,2010
7.8,885000,5.8,Peter Jackson,169,12+,2012
9.0,2900000,8.4,Christopher Nolan,152,14+,2008
5.6,214000,3.8,Colin Trevorrow,147,12+,2022
8.5,1200000,8.8,Roger Allers,88,0+,1994
8.3,799000,9.0,Christopher Nolan,180,18+,2023
7.3,434000,6.2,Pierre Coffin,98,0+,2013
7.4,295000,7.7,Jon Favreau,106,6+,2016
7.0,461000,5.8,Jake Kasdan,119,16+,2017
7.4,582000,5.9,Peter Jackson,144,6+,2014
7.1,704000,5.0,Gore Verbinski,169,12+,2007
7.7,611000,6.5,David Yates,146,12+,2010
7.8,716000,6.6,Peter Jackson,161,12+,2013
6.9,493000,6.0,Sam Raimi,126,16+,2022
8.8,1800000,8.7,Peter Jackson,179,12+,2002
7.5,645000,7.1,David Yates,138,12+,2007
8.2,1100000,9.0,Andrew Stanton,100,0+,2003
6.5,93000,5.6,Kyle Balda,87,6+,2022
7.6,607000,7.8,David Yates,153,16+,2009
7.3,515000,7.5,Andrew Adamson,93,6+,2004
7.9,605000,4.9,Bryan Singer,134,18+,2018
5.5,43000,0.0,Kaige Chen,176,0+,2021
7.7,694000,8.1,Mike Newell,157,12+,2005
6.3,650000,5.9,Sam Raimi,139,12+,2007
8.9,2000000,9.2,Peter Jackson,178,12+,2001
6.9,269000,5.0,Carlos Saldanha,94,0+,2009
7.4,705000,6.3,Chris Columbus,161,16+,2002
7.4,734000,7.3,Jon Watts,133,16+,2017
6.8,472000,6.0,Sam Mendes,148,16+,2015
6.5,229000,4.9,Steve Martino,88,0+,2012
6.5,221000,6.1,Chris Renaud,86,6+,2016
6.5,760000,4.4,Zack Snyder,151,12+,2016
5.9,9000,4.4,Jing Wu,123,0+,2017
7.6,860000,6.8,George Lucas,140,12+,2005
7.5,732000,7.6,Francis Lawrence,146,12+,2013
7.6,773000,6.7,James Gunn,136,16+,2017
6.7,316000,6.7,Ryan Coogler,161,12+,2022
8.1,830000,9.4,Pete Docter,95,6+,2015
6.6,551000,3.5,Ruben Fleischer,112,16+,2018
7.9,832000,7.4,Taika Waititi,130,16+,2017
5.6,266000,5.2,Bill Condon,115,12+,2012
7.9,400000,6.4,James Gunn,150,12+,2023
8.8,2600000,7.4,Christopher Nolan,148,12+,2010
6.0,433000,3.5,Michael Bay,149,12+,2009
7.4,897000,7.3,Sam Raimi,121,12+,2002
7.3,707000,7.6,Patty Jenkins,141,16+,2017
6.9,31000,0.0,Ling Jia,128,12+,2021
7.0,616000,5.9,Roland Emmerich,145,12+,1996
7.2,514000,6.6,David Yates,132,12+,2016
8.4,613000,8.1,Lee Unkrich,105,12+,2017
6.1,338000,5.8,Chris Miller,93,6+,2007
7.9,705000,8.2,Alfonso Cuarón,142,16+,2004
6.7,292000,5.8,Jake Kasdan,123,12+,2019
6.5,354000,3.9,Joachim Rønning,129,16+,2017
7.9,444000,9.2,Steven Spielberg,115,0+,1982
7.7,385000,8.7,Christopher McQuarrie,147,16+,2018
5.8,403000,4.9,Roland Emmerich,158,14+,2009
7.5,724000,8.3,Sam Raimi,127,12+,2004
7.0,421000,6.1,Justin Lin,130,12+,2013
6.2,496000,6.5,Steven Spielberg,122,12+,2008
7.6,684000,6.6,David Leitch,119,18+,2018
8.0,1200000,6.5,Tim Miller,108,18+,2016
8.6,1500000,9.0,George Lucas,121,0+,1977
7.3,452000,6.8,Cary Joji Fukunaga,163,12+,2021
8.0,1300000,7.6,James Gunn,121,12+,2014
7.7,871000,9.6,Alfonso Cuarón,91,12+,2013
7.8,816000,7.2,Matt Reeves,176,16+,2022
6.2,414000,5.7,Taika Waititi,118,18+,2022
6.5,241000,6.0,David Leitch,137,12+,2019
6.6,464000,4.6,Ron Howard,149,18+,2006
6.9,405000,5.6,Robert Stromberg,97,12+,2014
6.6,512000,6.4,Francis Lawrence,123,12+,2014
6.9,714000,6.6,Marc Webb,136,12+,2012
6.3,229000,5.8,Mike Mitchell,93,6+,2010
5.9,730000,4.0,David Ayer,123,16+,2016
6.8,202000,6.0,Eric Darnell,95,0+,2012
7.9,758000,7.5,Bryan Singer,132,12+,2014
6.9,434000,7.5,Andrew Adamson,143,6+,2005
7.2,398000,6.5,Dan Scanlon,104,6+,2013
7.2,639000,6.2,Lana Wachowski,138,16+,2003
8.3,1100000,8.8,Pete Docter,96,0+,2009
7.4,87000,5.4,Yu Yang,110,0+,2019
5.2,166000,5.8,Justin Lin,143,12+,2021
7.7,912000,7.0,Anthony Russo,136,12+,2014
4.9,258000,4.5,Bill Condon,117,12+,2011
8.5,521000,7.9,Denis Villeneuve,166,12+,2024
4.8,304000,4.4,Chris Weitz,130,12+,2009
7.6,491000,7.9,Matt Reeves,130,16+,2014
6.6,548000,5.3,Marc Webb,142,12+,2014
7.0,683000,6.1,Michael Bay,144,12+,2007
8.7,2200000,7.4,Christopher Nolan,169,12+,2014
5.7,126000,5.6,Louis Leterrier,141,12+,2023
7.3,621000,6.9,Andy Muschietti,135,18+,2017
5.9,37000,5.7,Frant Gwo,125,12+,2019
5.1,264000,5.8,David Slade,124,12+,2010
7.2,1000000,6.8,Gary Ross,142,14+,2012
7.4,534000,7.3,Brad Bird,132,14+,2011
6.5,282000,5.1,Phyllida Lloyd,108,12+,2008
8.6,404000,8.6,Joaquim Dos Santos,140,6+,2023
5.6,27000,0.0,Sicheng Chen,136,16+,2021
7.4,417000,7.5,Christopher McQuarrie,131,16+,2015
8.8,2300000,8.2,Robert Zemeckis,142,0+,1994
7.5,821000,7.2,Scott Derrickson,115,12+,2016
8.2,1100000,6.4,M. Night Shyamalan,107,12+,1999
7.1,820000,5.5,Zack Snyder,143,12+,2013
6.8,301000,5.9,Carlos Saldanha,91,0+,2006
7.3,328000,6.7,Jennifer Yuh Nelson,90,0+,2011
6.6,382000,6.5,Francis Lawrence,137,16+,2015
6.1,483000,4.5,Zack Snyder,120,12+,2017
7.8,513000,7.4,Don Hall,102,6+,2014
6.5,314000,5.2,David Yates,134,12+,2018
8.1,1200000,6.3,Gore Verbinski,143,12+,2003
6.8,393000,5.8,Barry Sonnenfeld,106,12+,2012
6.6,772000,5.4,George Lucas,142,0+,2002
6.7,735000,5.4,Alan Taylor,112,12+,2013
7.6,390000,8.1,Ron Clements,107,6+,2016
7.1,195000,5.9,Garth Jennings,108,6+,2016
7.0,160000,6.6,Paul King,116,6+,2023
7.6,533000,7.4,Mark Osborne,92,0+,2008
8.0,827000,9.0,Brad Bird,115,12+,2004
8.0,943000,8.0,Ridley Scott,144,16+,2015
6.4,519000,4.9,Peter Berg,92,12+,2008
5.6,15000,0.0,Hark Tsui,153,18+,2022
7.3,412000,6.6,Justin Lin,130,16+,2011
6.9,882000,5.7,Jon Favreau,124,12+,2010
8.1,849000,9.6,Brad Bird,111,0+,2007
7.0,459000,7.0,Peyton Reed,118,12+,2018
7.8,370000,7.7,Dean DeBlois,102,0+,2014
8.1,861000,7.7,James Mangold,137,18+,2017
6.6,450000,5.9,Steven Spielberg,129,0+,1997
8.0,703000,8.0,Martin Campbell,144,12+,2006
7.2,254000,4.7,Mel Gibson,127,16+,2004
7.9,674000,7.9,Ang Lee,127,6+,2012
7.4,498000,6.4,Steven Spielberg,140,12+,2018
5.2,172000,2.7,Michael Bay,154,12+,2017
6.6,252000,6.1,Eric Darnell,89,0+,2008
6.5,481000,7.3,Steven Spielberg,116,14+,2005
7.7,505000,7.1,Nathan Greno,100,6+,2010
6.5,475000,5.8,Marc Forster,106,14+,2008
7.3,624000,7.2,Barry Sonnenfeld,98,0+,1997
7.1,236000,5.5,Kirk DeMicco,98,0+,2013
6.5,543000,4.4,Todd Phillips,102,18+,2011
7.9,1100000,7.9,Jon Favreau,126,12+,2008
7.2,829000,6.5,Francis Lawrence,101,12+,2007
8.1,998000,7.9,Pete Docter,92,6+,2001
6.6,81000,0.0,Dante Lam,142,16+,2018
6.5,384000,4.8,Shawn Levy,108,6+,2006
4.2,340000,4.6,Sam Taylor-Johnson,125,18+,2015
7.2,160000,5.9,Rob Marshall,135,6+,2023
6.7,356000,6.2,Jordan Vogt-Roberts,118,12+,2017
6.1,104000,4.7,Adam Wingard,115,12+,2024
7.7,265000,8.1,Christopher McQuarrie,163,12+,2023
5.4,98000,3.0,Raja Gosnell,103,0+,2011
6.2,225000,5.7,John Lasseter,106,6+,2011
7.2,452000,8.1,Peter Jackson,187,16+,2005
6.6,196000,6.5,Chris Miller,90,0+,2011
6.2,10000,6.9,Stephen Chow,94,16+,2016
6.7,457000,4.2,Michael Bay,151,12+,1998
6.5,486000,4.7,Roland Emmerich,124,12+,2004
6.9,667000,6.2,Seth MacFarlane,106,18+,2012
7.3,538000,7.3,Clint Eastwood,133,18+,2014
6.1,383000,5.9,John Woo,123,12+,2000
6.3,55000,5.4,Mike Mitchell,94,6+,2024
6.1,32000,4.8,Sicheng Chen,121,16+,2018
6.8,470000,5.2,Bryan Singer,144,12+,2016
7.4,486000,4.8,Guy Ritchie,129,12+,2011
7.6,596000,7.2,Pierre Coffin,95,0+,2010
6.9,193000,6.7,Kenneth Branagh,105,6+,2015
6.9,445000,5.7,Eric Darnell,86,0+,2005
7.0,735000,6.3,Marc Forster,116,12+,2013
6.4,93000,5.1,Yarrow Cheney,85,6+,2018
7.1,450000,6.9,Mark Andrews,93,6+,2012
8.7,1400000,8.2,Irvin Kershner,124,0+,1980
7.3,353000,8.0,David Silverman,87,12+,2007
8.0,889000,7.6,Alejandro G. Iñárritu,156,18+,2015
7.8,753000,9.4,Christopher Nolan,106,16+,2017
5.7,212000,4.6,Jon Turteltaub,113,16+,2018
7.0,188000,7.1,Phil Johnston,112,12+,2018
6.3,88000,5.4,Genndy Tartakovsky,97,6+,2018
6.3,145000,5.0,Tom McGrath,97,6+,2017
8.4,1200000,9.5,Andrew Stanton,98,0+,2008
6.4,448000,6.2,Gareth Edwards,123,12+,2014
7.4,156000,7.1,Dean DeBlois,104,6+,2019
7.6,679000,5.7,Guy Ritchie,128,12+,2009
6.3,290000,4.1,Jay Roach,115,12+,2004
7.1,195000,6.6,Alessandro Carloni,95,6+,2016
8.6,1200000,7.5,James Cameron,137,16+,1991
7.2,734000,6.4,Peyton Reed,117,12+,2015
5.9,267000,4.9,Andy Serkis,97,16+,2021
7.1,240000,5.2,Jerry Zucker,127,14+,1990
8.0,477000,8.6,Ron Clements,90,G,1992
6.3,103000,4.9,Carlos Saldanha,101,0+,2014
7.3,579000,5.6,Wolfgang Petersen,163,16+,2004
7.9,630000,8.8,John Lasseter,92,6+,1999
7.0,138000,5.8,Peter Sohn,101,6+,2023
8.1,816000,7.5,Dean DeBlois,98,6+,2010
6.5,237000,6.8,Jan de Bont,113,12+,1996
6.3,215000,4.4,Sam Raimi,130,6+,2013
5.8,295000,3.9,Louis Leterrier,106,12+,2010
6.6,121000,4.3,Joachim Rønning,119,6+,2019
7.4,307000,8.2,Matt Reeves,140,16+,2017
7.9,749000,8.4,Andrew Adamson,90,6+,2001
6.5,551000,5.5,Doug Liman,120,14+,2005
6.7,313000,4.8,Ron Howard,138,12+,2009
5.8,222000,3.1,Jonathan Liebesman,101,6+,2014
6.8,441000,4.6,Tom Shadyac,101,12+,2003
6.9,254000,6.3,Carlos Saldanha,96,0+,2011
8.6,1500000,9.1,Steven Spielberg,169,16+,1998
7.6,584000,6.8,Rupert Wyatt,105,14+,2011
7.8,187000,7.3,Joel Crawford,102,6+,2022
8.1,675000,8.7,Steven Spielberg,124,16+,1975
7.7,663000,6.3,Chris Columbus,103,12+,1990
6.0,238000,4.8,Peyton Reed,124,12+,2023
6.6,147000,4.4,Genndy Tartakovsky,89,6+,2015
8.3,1100000,5.8,Richard Marquand,131,0+,1983
6.7,538000,7.2,Tim Burton,115,12+,2005
6.1,261000,4.3,Brad Peyton,114,12+,2015
8.2,821000,6.5,Steven Spielberg,127,0+,1989
6.5,310000,5.8,Andy Muschietti,169,18+,2019
8.0,713000,8.8,Tom Hooper,118,14+,2010
8.0,691000,9.4,Damien Chazelle,128,16+,2016
7.7,467000,7.2,Rich Moore,101,6+,2012
7.7,394000,8.3,Phil Lord,100,6+,2014
6.3,250000,5.9,Adam Wingard,113,12+,2021
7.7,862000,7.3,Todd Phillips,100,16+,2009
6.4,543000,6.2,Luc Besson,89,18+,2014
6.7,193000,6.6,Travis Knight,114,6+,2018
8.7,2100000,7.3,Lana Wachowski,136,16+,1999
7.7,500000,7.2,J.J. Abrams,132,12+,2013
8.5,1700000,6.7,Ridley Scott,155,18+,2000
7.1,372000,5.1,Garry Marshall,119,16+,1990
7.2,483000,7.3,John Lasseter,116,0+,2006
6.7,75000,6.4,Guan Hu,149,18+,2020
6.6,551000,5.8,Brett Ratner,104,12+,2006
6.4,18000,0.0,Chiyu Zhang,122,12+,2022
6.5,257000,4.8,Jon Turteltaub,124,12+,2007
7.2,477000,5.9,Brian De Palma,110,12+,1996
7.6,875000,5.2,Zack Snyder,117,16+,2006
7.8,478000,5.5,Edward Zwick,154,16+,2003
8.2,78000,7.2,Haruo Sotozaki,117,16+,2020
7.8,82000,6.3,Muye Wen,117,0+,2018
7.7,630000,7.4,Steven Soderbergh,116,12+,2001
6.3,23000,0.0,Kaige Chen,154,12+,2019
6.5,186000,5.3,Rob Letterman,104,12+,2019
7.0,913000,5.7,Kenneth Branagh,115,12+,2011
6.2,356000,4.4,Michael Bay,183,12+,2001
7.3,252000,8.0,Chris Buck,88,6+,1999
6.2,410000,4.9,Barry Sonnenfeld,88,12+,2002
8.0,664000,8.5,Paul Greengrass,115,16+,2007
6.4,351000,4.8,Stephen Sommers,130,12+,2001
4.6,56000,4.1,Betty Thomas,88,6+,2009
7.5,349000,6.3,Tom Hooper,158,12+,2012
8.1,464000,8.3,William Friedkin,122,18+,1973
7.1,297000,5.4,Chris Columbus,125,0+,1993
6.3,296000,3.8,Alan Taylor,126,12+,2015
7.7,352000,7.8,Chad Stahelski,169,18+,2023
6.7,284000,3.2,Duncan Jones,123,12+,2016
6.0,111000,4.2,Steven Caple Jr.,127,12+,2023
7.5,319000,4.8,Michael Gracey,105,12+,2017
6.2,43000,5.2,Chris Renaud,94,6+,2024
7.6,426000,8.8,Bradley Cooper,136,18+,2018
5.6,97000,4.2,James Wan,124,12+,2023
6.3,423000,6.6,Jonathan Mostow,109,16+,2003
7.4,447000,7.1,Destin Daniel Cretton,132,16+,2021
6.1,231000,5.6,Lee Tamahori,133,12+,2002
6.4,71000,5.5,Chris Renaud,86,6+,2019
7.8,649000,7.4,Robert Zemeckis,143,12+,2000
6.1,189000,4.5,Brad Peyton,107,12+,2018
6.7,551000,4.7,Lana Wachowski,129,16+,2003
8.5,946000,5.7,Olivier Nakache,112,14+,2011
6.5,185000,5.9,Adil El Arbi,124,18+,2020
8.5,1700000,8.1,Quentin Tarantino,165,18+,2012
8.0,485000,9.5,Gary Trousdale,84,6+,1991
8.0,296000,7.2,Kevin Costner,181,6+,1990
6.4,11000,0.0,Hao Ning,153,12+,2020
6.5,228000,6.2,Andrew Adamson,150,12+,2008
5.7,129000,5.3,Michael Patrick King,145,16+,2008
7.1,470000,4.8,Stephen Sommers,124,0+,1999
6.2,25000,0.0,Wai Keung Lau,111,12+,2019
6.3,169000,5.3,Michael Apted,113,12+,2010
6.6,246000,5.8,Paul Greengrass,123,12+,2016
