Средний балл зрителей,Количество оценок,IMDb,Режиссёр,"Хронометраж, мин",Возраст,Год
7.0,170000,5.3,David Frankel,111,12+,2008
6.5,142000,5.9,Renny Harlin,113,16+,1993
5.6,42000,4.7,Chris Buck,95,6+,2023
8.2,118000,0.0,S.S. Rajamouli,167,16+,2017
6.9,136000,8.3,Chris Noonan,91,0+,1995
5.6,150000,3.8,F. Gary Gray,114,12+,2019
5.8,124000,2.7,Walt Becker,100,12+,2007
5.0,69000,5.7,Kenny Ortega,112,12+,2008
7.3,260000,7.4,Ron Clements,93,0+,1997
5.7,212000,4.3,Simon Kinberg,113,16+,2019
7.6,361000,8.0,Ethan Coen,110,14+,2010
5.6,73000,2.6,Stephen Gaghan,101,12+,2020
6.5,112000,5.2,Mel Smith,89,12+,1997
7.2,504000,9.0,David O. Russell,138,16+,2013
7.3,262000,6.7,Tony Scott,132,0+,1998
6.7,233000,5.8,Nora Ephron,119,12+,1998
7.6,123000,3.6,Alejandro Monteverde,131,18+,2023
5.1,131000,3.8,Stefen Fangmeier,104,12+,2006
6.9,126000,4.8,Aaron Blaise,85,0+,2003
6.8,63000,6.4,Pierre Perifel,100,6+,2022
9.2,2100000,10.0,Francis Ford Coppola,175,16+,1972
6.8,200000,6.2,Martin Campbell,136,12+,1998
7.6,537000,5.5,Richard Curtis,135,16+,2003
7.1,381000,5.7,Gore Verbinski,115,16+,2002
6.5,292000,8.0,Daniel Myrick,81,16+,1999
7.3,449000,6.2,M. Night Shyamalan,106,16+,2000
5.4,37000,5.9,Hark Tsui,109,12+,2017
7.3,419000,4.1,Peter Farrelly,107,16+,1994
6.6,283000,4.3,M. Night Shyamalan,129,16+,2019
5.4,174000,1.9,Dennis Dugan,101,12+,2013
7.0,50000,6.7,Steve Martino,88,0+,2015
7.3,298000,7.5,Gore Verbinski,107,0+,2011
7.1,169000,8.1,Mike Newell,117,12+,1994
7.3,407000,8.2,John Woo,138,14+,1997
5.9,101000,4.0,Dave Green,112,6+,2016
6.2,284000,5.5,Tim Burton,113,12+,2012
5.6,282000,5.4,Ang Lee,138,16+,2003
5.7,13000,0.0,Tony Chan,118,12+,2019
7.1,46000,0.0,Dany Boon,106,0+,2008
7.4,489000,5.5,Robert Zemeckis,118,16,1990
5.6,163000,2.7,Chris Columbus,105,12+,2015
6.0,166000,4.7,Brett Ratner,98,12+,2014
7.0,301000,6.1,Brett Ratner,98,12+,1998
5.8,134000,5.7,Eric Brevig,93,0+,2008
7.4,303000,7.4,Clint Eastwood,96,16+,2016
4.8,211000,3.3,M. Night Shyamalan,100,12+,2013
7.7,293000,6.2,Rob Reiner,138,0+,1992
6.9,264000,6.6,Phil Lord,90,0+,2009
7.2,328000,7.7,Curtis Hanson,110,16+,2002
6.2,130000,4.2,Sean Anders,96,12+,2015
6.1,242000,5.2,José Padilha,117,12+,2014
6.2,120000,5.6,Chuck Russell,115,16+,1996
6.4,319000,6.5,Ridley Scott,122,18+,2017
5.6,211000,3.6,Justin Kurzel,115,16+,2016
6.4,363000,4.5,Frank Coraci,107,12+,2006
6.5,23000,0.0,Teng Cheng,110,18+,2020
5.7,49000,3.9,Klay Hall,91,0+,2013
5.3,152000,3.9,Paul W.S. Anderson,95,18+,2012
7.1,387000,6.7,Renny Harlin,124,18+,1990
5.7,62000,4.1,John Cornell,111,6+,1988
6.9,195000,7.4,Jon M. Chu,120,18+,2018
7.3,461000,4.9,David Leitch,127,16+,2022
3.8,271000,2.9,Joel Schumacher,125,12+,1997
8.2,463000,8.2,Hayao Miyazaki,119,12+,2004
4.9,74000,3.3,Rob Letterman,85,12+,2010
6.5,298000,3.5,Dominic Sena,118,12+,2000
5.5,299000,3.9,Martin Campbell,114,12+,2011
6.8,89000,7.7,John Badham,118,16+,1977
7.7,749000,8.1,David O. Russell,122,16+,2012
5.9,302000,3.8,John Singleton,107,12+,2003
7.8,262000,7.4,Theodore Melfi,127,12+,2016
7.2,326000,6.5,Steven Spielberg,146,12+,2001
8.1,562000,7.9,Peter Weir,128,6+,1989
7.0,262000,7.5,Paul Feig,120,16+,2015
7.0,441000,5.8,Paul Weitz,95,14+,1999
6.7,226000,4.9,Jon Hurwitz,113,16+,2012
6.4,238000,4.2,Dennis Dugan,93,0+,1999
4.9,23000,3.3,Walt Becker,92,6+,2015
8.0,836000,7.1,Morten Tyldum,114,12+,2014
7.3,272000,5.9,Craig Gillespie,134,12+,2021
5.5,180000,4.0,Scott Derrickson,104,12+,2008
6.3,220000,4.3,Jesse Dylan,96,16+,2003
7.8,503000,7.1,David Fincher,158,18+,2011
7.4,555000,8.1,Jason Reitman,96,12+,2007
7.7,645000,8.6,Ben Affleck,120,16+,2012
6.4,136000,5.6,Steve Bendelack,90,6+,2007
7.4,205000,8.6,Anthony Minghella,162,16+,1996
6.5,110000,5.1,Emile Ardolino,100,12+,1992
5.9,89000,5.3,Gary Dauberman,106,18+,2019
7.0,381000,5.0,Francis Lawrence,121,16+,2005
6.5,231000,5.4,Peter Segal,110,16+,2008
6.5,217000,5.7,Joe Pytka,88,6+,1996
8.6,755000,5.8,Roberto Benigni,116,0+,1997
6.6,183000,6.0,Paul Feig,117,16+,2013
6.8,250000,6.0,Paul Feig,117,16+,2016
7.1,314000,6.6,Jon Favreau,97,0+,2003
5.3,256000,3.5,Mark Steven Johnson,110,12+,2007
6.7,36000,0.0,Da-Mo Peng,104,12+,2015
6.8,194000,7.2,Nora Ephron,105,6+,1993
7.3,192000,7.0,Richard Donner,114,16+,1989
5.8,166000,3.9,Michel Gondry,119,12+,2011
7.1,88000,6.9,Sydney Pollack,161,6+,1985
7.8,97000,8.8,Paul King,103,6+,2017
7.0,35000,6.9,Xiaogang Feng,135,0+,2017
7.5,628000,8.6,Edgar Wright,113,18+,2017
6.0,178000,4.6,Tarsem Singh,110,16+,2011
7.7,643000,5.1,Pierre Morel,90,16+,2008
5.9,206000,4.7,Chris Columbus,118,6+,2010
6.1,127000,6.0,Angus MacLane,105,6+,2022
6.1,219000,2.3,Tommy Wirkola,88,16+,2013
6.4,200000,5.1,Luc Besson,136,12+,2017
8.3,1100000,7.1,Gus Van Sant,126,16+,1997
7.6,14000,8.3,Derek Tsang,135,12+,2019
8.1,496000,8.1,James Mangold,152,16+,2019
6.1,327000,3.5,Doug Liman,88,12+,2008
7.8,771000,9.5,David Fincher,120,12+,2010
7.1,215000,8.8,Peter Lord,84,0+,2000
6.9,324000,5.2,Simon West,115,0+,1997
7.5,354000,6.2,Neil Jordan,123,16+,1994
6.3,174000,5.3,Robert Schwentke,98,12+,2005
6.8,388000,4.6,Peyton Reed,104,12+,2008
6.9,279000,5.6,Jaume Collet-Serra,106,16+,2014
6.4,169000,6.3,Joe Johnston,93,0+,1989
7.5,133000,6.7,Michael Moore,122,12+,2004
4.9,169000,4.0,Barry Sonnenfeld,106,12+,1999
5.3,122000,2.1,Dean Devlin,109,16+,2017
6.1,581,0.0,Teng Shen,157,0+,2021
8.1,501000,6.2,Tate Taylor,146,12+,2011
6.4,157000,6.4,Ridley Scott,158,18+,2023
6.9,49000,7.2,Alan J. Pakula,127,16+,1990
6.6,216000,5.0,Jaume Collet-Serra,127,12+,2021
6.3,102000,6.8,Michael Sarnoski,99,12+,2024
5.5,161000,4.9,David Zucker,84,16+,2003
7.5,439000,7.1,Michael Mann,120,16+,2004
6.1,122000,5.2,Will Gluck,103,16+,2023
6.2,192000,4.2,Ron Howard,121,12+,2016
6.9,388000,8.5,Judd Apatow,129,16+,2007
6.1,190000,3.6,Tom Vaughan,99,12+,2008
6.5,99000,5.7,Nancy Meyers,121,16+,2009
7.4,502000,5.5,Steven Spielberg,128,12+,2004
5.7,18000,3.1,Mark Dindal,101,6+,2024
7.8,254000,9.1,Greta Gerwig,135,12+,2019
7.8,499000,8.2,Paul Greengrass,134,16+,2013
7.2,149000,6.4,Brenda Chapman,99,0+,1998
7.0,372000,5.0,Christopher McQuarrie,130,16+,2012
7.3,323000,6.3,Ridley Scott,144,16+,2005
6.6,43000,6.0,Karey Kirkpatrick,96,6+,2018
3.4,73000,1.2,Tony Leondis,86,6+,2017
6.5,179000,6.8,Parker Finn,115,18+,2022
6.1,792,0.0,Wenxiong Xing,109,12+,2022
6.2,212000,4.0,Gary Shore,92,12+,2014
6.3,219000,5.2,Rawson Marshall Thurber,107,16+,2016
8.1,730000,8.6,Clint Eastwood,132,16+,2004
6.2,140000,5.0,Ivan Reitman,107,6+,1988
5.7,126000,3.4,Garry Marshall,125,12+,2010
6.8,116000,8.3,Richard Lester,127,0+,1980
5.7,215000,4.7,Jake Kasdan,92,18+,2011
6.7,912,0.0,Yan Han,122,12+,2020
6.9,55000,5.6,Joel Crawford,95,6+,2020
6.9,110000,7.2,Phillip Noyce,141,0+,1994
7.3,185000,8.3,Clyde Geronimi,79,G,1961
6.3,239000,4.8,Seth MacFarlane,115,18+,2015
7.4,244000,5.7,Francis Ford Coppola,128,18+,1992
6.0,66000,4.8,Martin Campbell,124,12+,2000
6.6,229000,5.6,Ivan Reitman,108,0+,1989
7.2,298000,6.3,Roland Emmerich,165,16+,2000
6.1,171000,4.6,Jon Turteltaub,109,12+,2010
6.4,270000,3.3,Dennis Dugan,117,12+,2011
6.1,199000,3.5,Patrick Hughes,126,12+,2014
7.1,262000,6.5,Emile Ardolino,100,12+,1987
7.1,158000,6.6,Steven Caple Jr.,130,16+,2018
6.9,323000,7.0,Michael Mann,140,16+,2009
7.8,584000,6.8,Doug Liman,119,16+,2002
6.2,55000,5.8,Barry Levinson,128,16+,1994
7.9,284000,9.4,Ang Lee,120,12+,2000
8.9,2300000,9.5,Quentin Tarantino,154,18+,1994
7.5,388000,7.7,Martin Scorsese,170,12+,2004
8.3,1100000,6.8,Mel Gibson,178,16+,1995
5.9,149000,6.9,Rob Marshall,125,12+,2014
6.0,102000,3.3,Adam Shankman,99,12+,2008
6.3,234000,4.3,Donald Petrie,109,12+,2000
6.3,125000,5.4,Jon Amiel,113,12+,1999
6.4,237000,4.3,Steve Oedekerk,90,12+,1995
5.8,118000,3.4,Peter Hyams,122,18+,1999
6.4,83000,5.9,Sharon Maguire,123,18+,2016
7.6,560000,6.4,David Ayer,134,16+,2014
5.7,186000,3.7,Jonathan Liebesman,116,12+,2011
6.6,131000,5.3,Baz Luhrmann,165,12+,2008
6.5,361000,5.1,Todd Phillips,95,16+,2010
7.5,241000,8.1,Peter Weir,138,12+,2003
6.8,223000,6.2,Brad Silberling,108,12+,2004
7.6,295000,8.8,Ron Clements,83,0+,1989
6.7,13000,0.0,Muye Wen,106,12+,2022
7.9,725000,8.1,Neill Blomkamp,112,14+,2009
6.2,110000,6.6,Lewis Gilbert,126,12+,1979
7.6,400000,7.4,Alejandro Amenábar,101,16+,2001
6.9,474000,5.7,Seth Gordon,98,16+,2011
6.0,16000,5.3,Walt Dohrn,91,6+,2023
7.4,55000,0.0,Rene Liu,120,0+,2018
7.2,295000,6.0,Brett Ratner,124,18+,2002
6.4,193000,6.0,Brad Bird,130,6+,2015
7.4,296000,5.1,Thea Sharrock,110,16+,2016
7.2,238000,7.2,John Francis Daley,134,12+,2023
6.7,240000,5.2,Daniel Espinosa,115,18+,2012
6.1,155000,4.5,Clark Johnson,117,12+,2003
7.1,77000,5.6,Jared Stern,105,6+,2022
6.8,427000,5.8,Rob Cohen,106,16+,2001
7.6,222000,8.6,Steven Soderbergh,147,18+,2000
5.8,101000,5.9,Henry Joost,83,16+,2011
7.7,261000,6.6,Jonathan Demme,125,16+,1993
6.3,144000,5.3,Michael Chaves,112,18+,2021
5.5,137000,5.0,Nia DaCosta,105,12+,2023
7.3,390000,6.5,Tim Burton,105,12+,1999
7.0,328000,5.2,Nancy Meyers,136,14+,2006
7.6,202000,6.5,Wolfgang Reitherman,78,Approved,1967
6.5,62000,7.2,Benny Chan,126,0+,2021
5.9,172000,2.8,Babak Najafi,99,16+,2016
5.8,140000,4.6,Peyton Reed,106,14+,2006
6.7,14000,6.8,Stephen Chow,110,12+,2013
6.4,233000,2.8,Robert Luketic,96,16+,2009
6.1,269000,6.0,Cathy Yan,109,18+,2020
8.0,173000,7.2,Oliver Stone,189,16+,1991
6.3,239000,5.2,Roland Emmerich,131,12+,2013
7.6,168000,8.6,Hayao Miyazaki,101,6+,2008
7.2,80000,4.3,Lasse Hallström,100,6+,2017
6.2,156000,4.7,Dean Parisot,90,12+,2005
5.8,108000,5.0,Ryan Murphy,133,14+,2010
5.8,46000,4.6,Greg Tiernan,86,6+,2019
7.0,226000,4.5,Jason Reitman,124,12+,2021
5.6,217000,5.4,Dennis Dugan,113,12+,2008
6.7,140000,8.1,Adam Shankman,117,6+,2007
6.3,178000,4.6,Antoine Fuqua,126,12+,2004
4.6,24000,3.5,Eric Brevig,81,0+,2010
7.1,236000,6.4,Baltasar Kormákur,121,12+,2015
7.9,789000,8.1,Denis Villeneuve,116,16+,2016
6.9,289000,4.5,Cameron Crowe,136,16+,2001
6.4,180000,3.9,Scott Waugh,132,12+,2014
5.1,96000,2.7,Peter Hewitt,80,0+,2004
6.8,124000,2.6,Tom Shadyac,115,12+,1998
5.9,54000,4.9,Cal Brunker,88,6+,2023
6.8,106000,5.1,Steve Barron,93,6+,1990
6.2,165000,6.1,Ivan Reitman,111,12+,1990
6.1,76000,4.6,Gil Kenan,115,12+,2024
7.8,222000,7.2,F. Gary Gray,147,18+,2015
7.2,609000,6.9,Phil Lord,109,16+,2012
7.1,262000,5.6,Bryan Singer,121,14+,2008
6.1,107000,4.9,Roger Allers,86,12+,2006
5.2,63000,4.7,Lawrence Guterman,87,12+,2001
7.5,218000,5.8,John McTiernan,135,6+,1990
5.7,128000,3.9,Thor Freudenthal,106,6+,2013
6.5,79000,6.5,Mike Mitchell,107,6+,2019
6.1,127000,4.2,Marc Lawrence,101,12+,2002
7.0,328000,6.0,Robert Schwentke,111,12+,2010
6.6,3000,0.0,Herman Yau,120,16+,2020
6.7,129000,5.4,Brad Silberling,114,12+,1998
5.6,102000,3.0,Adam Shankman,95,6+,2005
6.8,389000,4.8,Peter Segal,99,18+,2004
6.2,269000,4.3,Len Wiseman,118,12+,2012
6.2,2000,6.1,Huang Bo,134,12+,2018
7.5,249000,7.3,J.A. Bayona,114,12+,2012
6.2,39000,5.5,Zheng Xu,105,0+,2012
7.2,86000,6.0,Marc Forster,104,6+,2018
6.3,149000,5.1,Bryan Singer,114,12+,2013
6.0,25000,4.0,Kelly Asbury,90,6+,2017
4.7,13000,0.0,Wai Keung Lau,129,12+,2021
4.4,67000,5.7,Robert Rodriguez,84,6+,2003
6.8,301000,6.5,David Fincher,112,16+,2002
6.0,153000,3.9,Nick Cassavetes,109,16+,2014
7.0,208000,4.2,Roland Emmerich,116,12+,1994
6.3,176000,5.9,Robert Zemeckis,115,12+,2007
6.8,207000,4.3,Michael Sucsy,104,14+,2012
6.3,231000,5.2,Peter Segal,106,12+,2003
7.1,456000,7.1,Ben Stiller,107,16+,2008
7.3,199000,6.9,Dexter Fletcher,121,18+,2019
6.6,98000,5.1,Alan J. Pakula,141,12+,1993
7.3,453000,8.7,Guillermo del Toro,123,18+,2017
6.3,95000,6.6,Steven Spielberg,117,6+,2016
7.1,282000,5.1,Nancy Meyers,121,16+,2015
7.4,65000,6.4,Michael Engler,122,18+,2019
5.9,61000,5.3,Kelly Asbury,84,0+,2011
6.5,126000,4.5,Phil Alden Robinson,124,16+,2002
7.5,479000,7.2,Martin Scorsese,167,16+,2002
7.2,164000,8.3,Steven Spielberg,116,16+,2017
5.9,35000,0.0,Soi Cheang,119,0+,2016
6.3,260000,6.8,Oren Peli,86,16+,2007
6.1,164000,6.0,Aaron Nee,112,16+,2022
7.5,59000,7.2,Makoto Shinkai,112,12+,2019
7.5,148000,8.7,Steve Box,85,12+,2005
7.2,431000,5.7,Antoine Fuqua,132,16+,2014
6.8,19000,7.3,Sam Quah,112,12+,2019
6.9,183000,5.7,Barry Sonnenfeld,99,12+,1991
6.4,198000,4.8,Peter Segal,113,12+,2005
6.8,131000,5.8,Antoine Fuqua,109,16+,2023
6.6,135000,5.7,John Pasquin,97,6+,1994
5.9,110000,4.6,Shawn Levy,98,12+,2003
6.7,205000,5.0,Antoine Fuqua,121,18+,2018
7.0,43000,6.1,Jill Culton,97,6+,2019
5.8,140000,2.4,Paul Verhoeven,112,18+,2000
6.6,140000,6.4,Wolfgang Petersen,127,16+,1995
6.0,16000,0.0,Herman Yau,99,12+,2019
7.0,111000,6.0,Rob Bowman,121,16+,1998
5.5,54000,4.5,Patrick Wilson,107,12+,2023
6.4,18000,0.0,Hao Ning,116,12+,2014
5.8,142000,3.6,Peter MacDonald,102,16+,1988
7.3,346000,5.4,Ben Stiller,114,12+,2013
6.8,52000,0.0,Felix Chong,130,12+,2018
5.8,86000,5.1,Jeannot Szwarc,116,16+,1978
8.1,750000,9.6,Steve McQueen,134,16+,2013
8.3,732000,7.6,Michael Mann,170,16+,1995
6.0,107000,5.3,Mark Waters,94,6+,2011
5.9,152000,4.9,Takashi Shimizu,91,16+,2004
5.9,156000,3.7,Dennis Dugan,115,16+,2007
6.7,44000,6.5,Robert Redford,169,12+,1998
7.8,269000,7.2,James Mangold,136,12+,2005
5.6,14000,0.0,Da Peng,113,12+,2015
5.3,18000,3.8,Steve Trenbirth,72,0+,2003
5.1,118000,3.0,David R. Ellis,82,16+,2009
6.9,137000,5.2,Gary Trousdale,95,12+,2001
7.6,404000,7.6,Spike Lee,129,16+,2006
6.2,182000,4.1,Frank Coraci,90,12+,1998
6.5,43000,4.6,John Krasinski,104,6+,2024
7.5,339000,8.3,Martin Scorsese,126,12+,2011
5.8,73000,4.0,Trish Sie,93,12+,2017
7.6,589000,5.6,Zack Snyder,162,16+,2009
7.2,103000,7.1,Mike Nichols,117,16+,1996
7.6,219000,9.6,William Cottrell,83,0+,1937
7.6,302000,6.6,Baz Luhrmann,127,12+,2001
7.8,63000,0.0,JK Youn,126,0+,2014
5.4,38000,4.1,Tim Hill,95,0+,2011
5.3,196000,4.0,Lana Wachowski,127,12+,2015
6.2,136000,6.0,Jon Lucas,100,18+,2016
6.8,69000,5.6,Nicholas Stoller,87,6+,2016
6.2,251000,4.1,Alex Proyas,121,12+,2009
4.8,40000,3.5,Kevin Lima,100,0+,2000
7.3,97000,0.0,Tony Oliver,95,6+,2014
6.9,251000,4.7,Patrick Hughes,118,18+,2017
